epoch,loss_discriminator,loss_generator,params_generator,rel_entropy
0,0.5953,1.0121,"[0.61273043 0.54914796 0.12031699 0.11685062 0.48913831 0.08824438
 0.81512826 0.83400536 0.77058636 0.24508914 0.16555928 0.66205012
 0.81921276 0.9676798  0.62475666 0.81643819 0.6333723  0.06727235
 0.26243046 0.44393834 0.68593517 0.95757864 0.67427091 0.67128228
 0.39267984 0.90311986 0.717618   0.07318794 0.14839327 0.52134557
 0.78330254 0.33928201]",15.6349
1,0.5721,1.2004,"[0.60676127 0.54315233 0.11432244 0.11085555 0.48318141 0.09402532
 0.80913294 0.84000159 0.77658052 0.25108362 0.15956219 0.65606878
 0.8252121  0.97220536 0.63046679 0.82242941 0.63935304 0.06132892
 0.26839519 0.44002456 0.69179688 0.96343267 0.66828357 0.6763808
 0.39861196 0.8971225  0.71161867 0.06718847 0.14239613 0.5153499
 0.77731194 0.33329325]",15.5831
2,0.5506,1.3295,"[0.60077763 0.53715548 0.1083263  0.10485909 0.47721292 0.09987701
 0.80313631 0.8459989  0.78257566 0.25708052 0.15356456 0.65009668
 0.83121162 0.97338061 0.63626172 0.82842308 0.64533883 0.05536938
 0.27437065 0.43574798 0.6976956  0.9693298  0.66228854 0.68173538
 0.40456551 0.89112399 0.70561916 0.06118885 0.13639818 0.50935303
 0.77131891 0.32730134]",15.5323
3,0.5416,1.3737,"[0.59479042 0.53115815 0.10232953 0.09886209 0.47124015 0.10575901
 0.79713919 0.85199661 0.78857112 0.26307819 0.14756677 0.64424158
 0.8372112  0.96841929 0.64209143 0.83441769 0.65132646 0.0494035
 0.28035044 0.43132782 0.70360791 0.97524449 0.65629186 0.68720495
 0.410528   0.8851251  0.69961958 0.05518918 0.13039992 0.50335572
 0.76532503 0.32130823]",15.4832
4,0.5282,1.401,"[0.58880201 0.52516064 0.0963325  0.09286487 0.46526575 0.11165628
 0.7911419  0.8579945  0.79456668 0.26907625 0.14156901 0.65013262
 0.84321081 0.96284431 0.64793943 0.84041265 0.6573148  0.04343496
 0.28633219 0.42688496 0.70952493 0.98116744 0.65029445 0.69271964
 0.41649466 0.87912603 0.69361999 0.04918948 0.12440154 0.49735825
 0.75933085 0.3153146 ]",15.4391
5,0.5223,1.419,"[0.58281274 0.51916301 0.09033531 0.08686748 0.45929018 0.1175644
 0.78514449 0.86399249 0.80056237 0.27507456 0.13557133 0.65611243
 0.84921043 0.95710377 0.65380347 0.84640779 0.6633037  0.03746464
 0.29231525 0.42246929 0.7154446  0.98709651 0.64429662 0.69824672
 0.42246403 0.87312683 0.68762037 0.04318978 0.11840306 0.49136069
 0.75333648 0.30932062]",15.3955
6,0.5162,1.4236,"[0.57682313 0.51316532 0.084338   0.08086999 0.45331392 0.12348061
 0.77914701 0.86999055 0.8065582  0.28107305 0.12957374 0.66210041
 0.85521006 0.95128824 0.65967932 0.85240302 0.66929295 0.03149315
 0.29829921 0.41811824 0.72136501 0.99303005 0.63829852 0.70377687
 0.42843539 0.86712755 0.68162075 0.03719006 0.11240453 0.48536309
 0.74734202 0.3033264 ]",15.3524
7,0.5053,1.437,"[0.5708332  0.50716755 0.07834057 0.07487237 0.44733684 0.12940459
 0.77314944 0.87598869 0.81255424 0.28707169 0.12357621 0.66809172
 0.86120971 0.94542803 0.66556631 0.85839838 0.67528262 0.02552034
 0.30428412 0.41384627 0.72728623 0.99896821 0.63230021 0.70931185
 0.43440879 0.86112819 0.67562111 0.03119033 0.10640593 0.47936544
 0.74134742 0.29733192]",15.3097
8,0.4935,1.4727,"[0.56484289 0.50116969 0.07234301 0.06887464 0.44135888 0.13533581
 0.76715177 0.88198689 0.81855051 0.29307046 0.11757872 0.67408501
 0.86720936 0.93953826 0.67146346 0.86439389 0.68127275 0.01954615
 0.31026998 0.40967868 0.73320802 1.00491089 0.62630174 0.7148524
 0.44038418 0.85512878 0.66962146 0.02519059 0.10040726 0.47336772
 0.73535267 0.29133715]",15.2676
9,0.4849,1.475,"[0.55885241 0.49517178 0.06634536 0.06287682 0.43538037 0.14127269
 0.76115403 0.88798515 0.82454693 0.29906932 0.11158128 0.68007951
 0.87320902 0.93362891 0.67736829 0.87038948 0.68726319 0.01357097
 0.31625653 0.40567644 0.73912875 1.01085707 0.62030315 0.72039214
 0.44636111 0.84912931 0.6636218  0.01919083 0.09440854 0.46736996
 0.72935783 0.28534218]",15.2261
